T08,Public expenditure on education (new),,,,
840,United States of America,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.603,
840,United States of America,2014,All staff compensation as % of total expenditure in public institutions (%),69.6854,
840,United States of America,2014,Capital expenditure as % of total expenditure in public institutions (%),8.7116,
840,United States of America,2014,Expenditure by level of education: pre-primary (as % of government expenditure),6.5547,
840,United States of America,2014,Expenditure by level of education: primary (as % of government expenditure),30.9646,
840,United States of America,2014,Expenditure by level of education: secondary (as % of government expenditure),34.5549,
840,United States of America,2014,Expenditure by level of education: tertiary (as % of government expenditure),27.5023,
840,United States of America,2014,Government expenditure on education (% of government expenditure),13.3971,
840,United States of America,2014,Public expenditure on education (% of GDP),4.9617,
858,Uruguay,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.5273,
858,Uruguay,2005,All staff compensation as % of total expenditure in public institutions (%),80.7502,
858,Uruguay,2005,Capital expenditure as % of total expenditure in public institutions (%),4.7225,
858,Uruguay,2005,Expenditure by level of education: pre-primary (as % of government expenditure),8.8854,
858,Uruguay,2005,Expenditure by level of education: primary (as % of government expenditure),33.7848,
858,Uruguay,2005,Expenditure by level of education: secondary (as % of government expenditure),35.4969,
858,Uruguay,2005,Expenditure by level of education: tertiary (as % of government expenditure),21.8329,
858,Uruguay,2005,Government expenditure on education (% of government expenditure),9.4712,
858,Uruguay,2005,Public expenditure on education (% of GDP),2.7148,
858,Uruguay,2006,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.0714,
858,Uruguay,2006,All staff compensation as % of total expenditure in public institutions (%),80.1853,
858,Uruguay,2006,Capital expenditure as % of total expenditure in public institutions (%),5.7433,
858,Uruguay,2006,Expenditure by level of education: pre-primary (as % of government expenditure),8.6801,
858,Uruguay,2006,Expenditure by level of education: primary (as % of government expenditure),33.3327,
858,Uruguay,2006,Expenditure by level of education: secondary (as % of government expenditure),35.985,
858,Uruguay,2006,Expenditure by level of education: tertiary (as % of government expenditure),22.0023,
858,Uruguay,2006,Government expenditure on education (% of government expenditure),9.8413,
858,Uruguay,2006,Public expenditure on education (% of GDP),2.8803,
858,Uruguay,2011,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.9123,
858,Uruguay,2011,All staff compensation as % of total expenditure in public institutions (%),80.4605,
858,Uruguay,2011,Capital expenditure as % of total expenditure in public institutions (%),4.6272,
858,Uruguay,2011,Expenditure by level of education: pre-primary (as % of government expenditure),10.1627,
858,Uruguay,2011,Expenditure by level of education: primary (as % of government expenditure),27.8764,
858,Uruguay,2011,Expenditure by level of education: secondary (as % of government expenditure),33.1749,
858,Uruguay,2011,Expenditure by level of education: tertiary (as % of government expenditure),26.8333,
858,Uruguay,2011,Government expenditure on education (% of government expenditure),15.1627,
858,Uruguay,2011,Public expenditure on education (% of GDP),4.3553,
858,Uruguay,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),13.3634,
858,Uruguay,2015,All staff compensation as % of total expenditure in public institutions (%),82.6061,
858,Uruguay,2015,Capital expenditure as % of total expenditure in public institutions (%),4.0305,
858,Uruguay,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.0559,
858,Uruguay,2017,All staff compensation as % of total expenditure in public institutions (%),82.7593,
858,Uruguay,2017,Capital expenditure as % of total expenditure in public institutions (%),3.1849,
858,Uruguay,2017,Expenditure by level of education: pre-primary (as % of government expenditure),11.0562,
858,Uruguay,2017,Expenditure by level of education: primary (as % of government expenditure),23.1242,
858,Uruguay,2017,Expenditure by level of education: secondary (as % of government expenditure),34.6753,
858,Uruguay,2017,Expenditure by level of education: tertiary (as % of government expenditure),24.7963,
858,Uruguay,2017,Government expenditure on education (% of government expenditure),14.9361,
858,Uruguay,2017,Public expenditure on education (% of GDP),4.8403,
860,Uzbekistan,2015,Government expenditure on education (% of government expenditure),23.6458,Estimate.
860,Uzbekistan,2015,Public expenditure on education (% of GDP),5.7864,Estimate.
860,Uzbekistan,2017,Government expenditure on education (% of government expenditure),23.0309,Estimate.
860,Uzbekistan,2017,Public expenditure on education (% of GDP),5.2813,Estimate.
548,Vanuatu,2001,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),1.1193,
548,Vanuatu,2001,All staff compensation as % of total expenditure in public institutions (%),51.6539,
548,Vanuatu,2001,Capital expenditure as % of total expenditure in public institutions (%),47.2269,
548,Vanuatu,2001,Expenditure by level of education: pre-primary (as % of government expenditure),0.0894,
548,Vanuatu,2001,Expenditure by level of education: primary (as % of government expenditure),27.8517,
548,Vanuatu,2001,Expenditure by level of education: secondary (as % of government expenditure),57.3953,
548,Vanuatu,2001,Expenditure by level of education: tertiary (as % of government expenditure),10.4645,
548,Vanuatu,2001,Government expenditure on education (% of government expenditure),40.0776,
548,Vanuatu,2001,Public expenditure on education (% of GDP),8.9512,
548,Vanuatu,2003,Government expenditure on education (% of government expenditure),44.8018,
548,Vanuatu,2003,Public expenditure on education (% of GDP),8.4417,
548,Vanuatu,2008,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.3522,
548,Vanuatu,2008,All staff compensation as % of total expenditure in public institutions (%),87.4059,
548,Vanuatu,2008,Capital expenditure as % of total expenditure in public institutions (%),1.242,
548,Vanuatu,2008,Expenditure by level of education: pre-primary (as % of government expenditure),0.5108,
548,Vanuatu,2008,Expenditure by level of education: primary (as % of government expenditure),49.7283,
548,Vanuatu,2008,Expenditure by level of education: secondary (as % of government expenditure),32.914,
548,Vanuatu,2008,Expenditure by level of education: tertiary (as % of government expenditure),5.8566,
548,Vanuatu,2008,Government expenditure on education (% of government expenditure),21.4056,
548,Vanuatu,2008,Public expenditure on education (% of GDP),5.783,
548,Vanuatu,2009,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),8.7805,
548,Vanuatu,2009,All staff compensation as % of total expenditure in public institutions (%),89.5326,
548,Vanuatu,2009,Capital expenditure as % of total expenditure in public institutions (%),1.687,
548,Vanuatu,2009,Expenditure by level of education: pre-primary (as % of government expenditure),0.0613,
548,Vanuatu,2009,Expenditure by level of education: primary (as % of government expenditure),54.2661,
548,Vanuatu,2009,Expenditure by level of education: secondary (as % of government expenditure),29.6925,
548,Vanuatu,2009,Government expenditure on education (% of government expenditure),18.7232,
548,Vanuatu,2009,Public expenditure on education (% of GDP),5.013,
548,Vanuatu,2015,Expenditure by level of education: pre-primary (as % of government expenditure),0.0896,
548,Vanuatu,2015,Expenditure by level of education: primary (as % of government expenditure),41.2951,
548,Vanuatu,2015,Expenditure by level of education: secondary (as % of government expenditure),28.7332,
548,Vanuatu,2015,Government expenditure on education (% of government expenditure),13.7338,
548,Vanuatu,2015,Public expenditure on education (% of GDP),5.5499,
548,Vanuatu,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.8141,
548,Vanuatu,2017,All staff compensation as % of total expenditure in public institutions (%),77.9923,
548,Vanuatu,2017,Capital expenditure as % of total expenditure in public institutions (%),1.1936,
548,Vanuatu,2017,Expenditure by level of education: pre-primary (as % of government expenditure),0.0925,
548,Vanuatu,2017,Expenditure by level of education: primary (as % of government expenditure),44.6363,
